year,reg,sex,x,mx
2003,1166,F,30,0.003006
2003,1166,F,35,0.003612
2003,1166,F,40,0.004691
2003,1166,F,45,0.006923
2003,1166,F,50,0.010326
2003,1166,F,55,0.014978
2003,1166,F,60,0.021559
2003,1166,F,65,0.027842
2003,1166,F,70,0.045464
2003,1166,F,75,0.074537
2003,1166,F,80,0.119834
2003,1166,F,85,0.229137
2003,1168,M,0,0.012975
2003,1168,M,1,0.001263
2003,1168,M,5,0.000305
2003,1168,M,10,0.000445
2003,1168,M,15,0.001628
2003,1168,M,20,0.003594
2003,1168,M,25,0.00576
2003,1168,M,30,0.007949
2003,1168,M,35,0.010242
2003,1168,M,40,0.015262
2003,1168,M,45,0.021573
2003,1168,M,50,0.028242
2003,1168,M,55,0.035294
2003,1168,M,60,0.055914
2003,1168,M,65,0.064584
2003,1168,M,70,0.083776
2003,1168,M,75,0.11673
2003,1168,M,80,0.147007
2003,1168,M,85,0.253164
2003,1168,F,0,0.011593
2003,1168,F,1,0.000755
2003,1168,F,5,0.000444
2003,1168,F,10,0.000219
2003,1168,F,15,0.000552
2003,1168,F,20,0.000837
2003,1168,F,25,0.001389
2003,1168,F,30,0.001658
2003,1168,F,35,0.001924
2003,1168,F,40,0.00311
2003,1168,F,45,0.004797
2003,1168,F,50,0.007242
2003,1168,F,55,0.011026
2003,1168,F,60,0.016879
2003,1168,F,65,0.023093
2003,1168,F,70,0.040317
2003,1168,F,75,0.067135
2003,1168,F,80,0.117793
2003,1168,F,85,0.234579
2003,1128,M,0,0.018117
2003,1128,M,1,0.0007
2003,1128,M,5,0.000465
2003,1128,M,10,0.000592
2003,1128,M,15,0.002145
2003,1128,M,20,0.005116
2003,1128,M,25,0.007145
2003,1128,M,30,0.011609
2003,1128,M,35,0.014579
2003,1128,M,40,0.020598
2003,1128,M,45,0.027384
2003,1128,M,50,0.039194
2003,1128,M,55,0.047031
2003,1128,M,60,0.067875
2003,1128,M,65,0.077083
2003,1128,M,70,0.102976
2003,1128,M,75,0.125501
2003,1128,M,80,0.177484
2003,1128,M,85,0.261107
2003,1128,F,0,0.010191
2003,1128,F,1,0.000697
2003,1128,F,5,0.000211
2003,1128,F,10,0.000274
2003,1128,F,15,0.00083
2003,1128,F,20,0.001345
2003,1128,F,25,0.002276
2003,1128,F,30,0.002426
2003,1128,F,35,0.003961
2003,1128,F,40,0.00591
2003,1128,F,45,0.007961
2003,1128,F,50,0.010958
2003,1128,F,55,0.017415
2003,1128,F,60,0.020748
2003,1128,F,65,0.029087
2003,1128,F,70,0.047345
2003,1128,F,75,0.074521
2003,1128,F,80,0.122411
2003,1128,F,85,0.234008
2003,1170,M,0,0.013908
2003,1170,M,1,0.000792
2003,1170,M,5,0.000396
2003,1170,M,10,0.000371
2003,1170,M,15,0.001917
2003,1170,M,20,0.003959
2003,1170,M,25,0.006793
2003,1170,M,30,0.009232
2003,1170,M,35,0.01328
2003,1170,M,40,0.019643
2003,1170,M,45,0.025267
2003,1170,M,50,0.035027
2003,1170,M,55,0.045499
2003,1170,M,60,0.059341
2003,1170,M,65,0.067544
2003,1170,M,70,0.092602
2003,1170,M,75,0.124962
2003,1170,M,80,0.16473
2003,1170,M,85,0.261061
2003,1170,F,0,0.011447
2003,1170,F,1,0.00066
2003,1170,F,5,0.000381
2003,1170,F,10,0.000153
2003,1170,F,15,0.000526
2003,1170,F,20,0.001232
2003,1170,F,25,0.001726
2003,1170,F,30,0.002822
2003,1170,F,35,0.003948
2003,1170,F,40,0.005149
2003,1170,F,45,0.006309
2003,1170,F,50,0.010592
2003,1170,F,55,0.013976
2003,1170,F,60,0.019263
2003,1170,F,65,0.027042
2003,1170,F,70,0.045577
2003,1170,F,75,0.073231
2003,1170,F,80,0.120299
2003,1170,F,85,0.23896
2003,1178,M,0,0.014193
2003,1178,M,1,0.001147
2003,1178,M,5,0.000407
2003,1178,M,10,0.000502
2003,1178,M,15,0.001961
2003,1178,M,20,0.003958
2003,1178,M,25,0.005729
2003,1178,M,30,0.008945
2003,1178,M,35,0.01314
2003,1178,M,40,0.020474
2003,1178,M,45,0.027365
2003,1178,M,50,0.035634
2003,1178,M,55,0.043524
2003,1178,M,60,0.060396
2003,1178,M,65,0.068864
2003,1178,M,70,0.09551
2003,1178,M,75,0.124073
2003,1178,M,80,0.171471
2003,1178,M,85,0.272242
2003,1178,F,0,0.008523
2003,1178,F,1,0.000811
2003,1178,F,5,0.000194
2003,1178,F,10,0.000336
2003,1178,F,15,0.000649
2003,1178,F,20,0.000903
2003,1178,F,25,0.001593
2003,1178,F,30,0.002072
2003,1178,F,35,0.003174
2003,1178,F,40,0.004909
2003,1178,F,45,0.007278
2003,1178,F,50,0.009257
2003,1178,F,55,0.012755
2003,1178,F,60,0.018262
2003,1178,F,65,0.024663
2003,1178,F,70,0.044552
2003,1178,F,75,0.071622
2003,1178,F,80,0.114606
2003,1178,F,85,0.231278
2003,1145,M,0,0.013531
2003,1145,M,1,0.000606
2003,1145,M,5,0.000384
2003,1145,M,10,0.000403
2003,1145,M,15,0.001
2003,1145,M,20,0.002212
2003,1145,M,25,0.003348
2003,1145,M,30,0.003828
2003,1145,M,35,0.005513
2003,1145,M,40,0.008215
2003,1145,M,45,0.012646
2003,1145,M,50,0.018426
2003,1145,M,55,0.022705
2003,1145,M,60,0.033098
2003,1145,M,65,0.0424
2003,1145,M,70,0.062421
2003,1145,M,75,0.085529
2003,1145,M,80,0.114597
2003,1145,M,85,0.193077
2003,1145,F,0,0.010519
2003,1145,F,1,0.000531
2003,1145,F,5,0.000191
2003,1145,F,10,0.00025
2003,1145,F,15,0.00051
2003,1145,F,20,0.000793
2003,1145,F,25,0.000997
2003,1145,F,30,0.001251
2003,1145,F,35,0.001857
2003,1145,F,40,0.002734
2003,1145,F,45,0.004034
2003,1145,F,50,0.006403
2003,1145,F,55,0.008416
2003,1145,F,60,0.012608
2003,1145,F,65,0.01858
2003,1145,F,70,0.034623
2003,1145,F,75,0.058809
2003,1145,F,80,0.096575
2003,1145,F,85,0.19678
2003,1186,M,0,0.009265
2003,1186,M,1,0.001102
